symbol,data_file,start_date,end_date,buy_score_thresh,sell_score_thresh,min_hold_days,use_policy,w_trend,w_mom,w_vol,w_risk,w_tech,w_policy,strategy_total_return,strategy_cagr,strategy_max_drawdown,bh_total_return,bh_cagr,bh_max_drawdown
SH.600383,./data/gm/600383_金地集团_D_gm.csv,,,3.6,3.8,3,0,1.0,1.0,1.0,1.0,1.0,1.0,0.27949635227553027,0.08595167279795835,-0.36279159747069767,-0.6650111924838058,-0.3064204246782788,-0.8082346843383381
SH.600383,./data/gm/600383_金地集团_D_gm.csv,,,3.8,3.8,3,0,1.0,1.0,1.0,1.0,1.0,1.0,0.27728923376547576,0.08532460479498027,-0.36389077564145467,-0.6650111924838058,-0.3064204246782788,-0.8082346843383381
SH.600383,./data/gm/600383_金地集团_D_gm.csv,,,4.0,3.8,3,0,1.0,1.0,1.0,1.0,1.0,1.0,0.27728923376547576,0.08532460479498027,-0.36389077564145467,-0.6650111924838058,-0.3064204246782788,-0.8082346843383381
SH.600383,./data/gm/600383_金地集团_D_gm.csv,,,3.6,4.0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,0.2584556357581911,0.07994420228743415,-0.3407382098019819,-0.6650111924838058,-0.3064204246782788,-0.8082346843383381
SH.600383,./data/gm/600383_金地集团_D_gm.csv,,,3.8,4.0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,0.2562848122753212,0.07932060321648149,-0.3407382098019819,-0.6650111924838058,-0.3064204246782788,-0.8082346843383381
SH.600383,./data/gm/600383_金地集团_D_gm.csv,,,4.0,4.0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,0.2562848122753212,0.07932060321648149,-0.3407382098019819,-0.6650111924838058,-0.3064204246782788,-0.8082346843383381
SH.600383,./data/gm/600383_金地集团_D_gm.csv,,,3.6,4.2,3,0,1.0,1.0,1.0,1.0,1.0,1.0,0.16989558079244604,0.053898979819535064,-0.3613081415345719,-0.6650111924838058,-0.3064204246782788,-0.8082346843383381
SH.600383,./data/gm/600383_金地集团_D_gm.csv,,,3.8,4.2,3,0,1.0,1.0,1.0,1.0,1.0,1.0,0.1521931644367831,0.04853666836759429,-0.3613081415345719,-0.6650111924838058,-0.3064204246782788,-0.8082346843383381
SH.600383,./data/gm/600383_金地集团_D_gm.csv,,,3.8,4.0,3,1,1.0,1.0,1.0,1.0,1.0,2.0,0.04296803460223875,0.014174442687734823,-0.4189801308621901,-0.6650111924838058,-0.3064204246782788,-0.8082346843383381
SH.600519,./data/gm/600519_贵州茅台_D_gm.csv,,,3.8,4.0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,-0.05577983850419055,-0.019018931161326802,-0.16182024370178294,-0.2566722710880409,-0.09447034361264084,-0.385440071417256
SH.601111,./data/gm/601111_中国国航_D_gm.csv,,,3.8,4.0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,-0.3322922299088501,-0.12639636275919697,-0.394517320545976,-0.14821994129995353,-0.05225680540749056,-0.474760433474376
SH.601138,./data/gm/601138_工业富联_D_gm.csv,,,3.8,4.0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,0.7826193651272013,0.21336937845959092,-0.3362572169389998,0.8650467262229056,0.23185820647270527,-0.5349667157739479
SZ.300750,./data/gm/300750_宁德时代_D_gm.csv,,,3.8,4.0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,-0.092582789467902,-0.03198050032573441,-0.3901138706680578,-0.5316783488415286,-0.22414819027190136,-0.7684484737702829
