code,market,symbol,name,theme_code,exposure_level,start_date,end_date
600519,SH,SHSE.600519,贵州茅台,CONSUME,1,2010-01-01,
000858,SZ,SZSE.000858,五粮液,CONSUME,1,2010-01-01,
601318,SH,SHSE.601318,中国平安,FIN,1,2010-01-01,
600036,SH,SHSE.600036,招商银行,FIN,1,2010-01-01,
601939,SH,SHSE.601939,建设银行,FIN,1,2010-01-01,
600276,SH,SHSE.600276,恒瑞医药,MED,2,2010-01-01,
159892,SH,SHSE.159892,恒生医药ETF,MED,2,2019-01-01,
300750,SZ,SZSE.300750,宁德时代,EV,2,2018-01-01,
002594,SZ,SZSE.002594,比亚迪,EV,2,2015-01-01,
601012,SH,SHSE.601012,隆基绿能,NE,2,2015-01-01,
600048,SH,SHSE.600048,保利发展,RE,2,2010-01-01,
000002,SZ,SZSE.000002,万科A,RE,2,2010-01-01,
510300,SH,SHSE.510300,沪深300ETF,INDEX,0,2010-01-01,
159915,SH,SHSE.159915,创业板ETF,GROWTH,0,2010-01-01,
600383,SH,SHSE.600383,金地集团,RE,0.8,2016-01-01,2025-12-31
