date,equity,cash,portfolio_value
2022-12-05,1000000.0,1000000.0,
2022-12-06,999799.3665773375,598532.5212522626,
2022-12-07,996097.973380283,596369.5928283741,
2022-12-08,995013.1907825086,593414.9942605507,
2022-12-09,997587.0389402735,594353.8692634591,
2022-12-12,994964.9907008929,593971.4390135129,
2022-12-13,994188.6805172596,591176.3222194917,
2022-12-14,994356.9028200342,590239.0231144251,
2022-12-15,992955.8347939202,586508.1414360902,
2022-12-16,993979.817278026,584666.08890912,
2022-12-19,985140.7724060253,566132.6963943434,
2022-12-20,978827.1644517146,567542.1637965756,
2022-12-21,979422.8169654714,573314.5954260611,
2022-12-22,979504.1388393788,571601.3960850025,
2022-12-23,979635.0763261019,569361.8060583225,
2022-12-26,981713.4168214336,569774.4410422198,
2022-12-27,986781.7302627884,571838.2475579228,
2022-12-28,983514.7956340346,151265.20269667584,
2022-12-29,983408.071768729,137497.05668305105,
2022-12-30,986035.1731913108,137350.2375501769,
2023-01-03,996312.9014565491,136120.60350655916,
2023-01-04,997910.0309940276,107295.08390688397,
2023-01-05,1011115.8699925323,107185.48384856811,
2023-01-06,1008808.0344369494,113635.12405066665,
2023-01-09,1016519.0374103788,108120.39991479424,
2023-01-10,1018823.8437874664,76666.04274026459,
2023-01-11,1014755.0065740031,74727.96776026848,
2023-01-12,1016372.3127989197,73038.38030414065,
2023-01-13,1029053.4592616443,51896.88938262327,
2023-01-16,1041706.6123910941,59112.352775530264,
2023-01-17,1040252.398160741,69554.48257589535,
2023-01-18,1040451.0644995825,51925.952396137756,
2023-01-19,1049739.320508549,52408.17653559298,
2023-01-20,1054064.675465517,52609.2716401045,
2023-01-30,1052385.9808566992,52545.582892179635,
2023-01-31,1038534.6182721815,51808.75908386604,
2023-02-01,1054981.154927628,52653.24746616902,
2023-02-02,1055053.8621035945,52633.15004393617,
2023-02-03,1048384.1335020268,52325.67032019187,
2023-02-06,1035860.3612684418,51714.96413052594,
2023-02-07,1041167.3989196502,51964.355631467144,
2023-02-08,1033360.7285182363,51599.59245671876,
2023-02-09,1052485.2084490906,52551.59018886321,
2023-02-10,1049950.6451104286,52395.19101723016,
2023-02-13,1064530.4558426568,53136.934911283985,
2023-02-14,1066074.034579435,53191.74204821425,
2023-02-15,1068645.342027976,53351.18575931176,
2023-02-16,1054291.3753326372,52618.29036874004,
