date,base_regime,z_sigma,buy_th,sell_th,target_exp,actual_exp,long_candidate_count
2024-12-04,neutral,2.359727677648149,0.57,0.32,0.38058026472706535,,128
2024-12-05,neutral,2.2998316860387296,0.57,0.32,0.38462687658104294,,128
2024-12-06,neutral,2.268444209087239,0.57,0.32,0.38678199022705795,,128
2024-12-09,neutral,2.235639741077744,0.57,0.32,0.3890603595521592,,128
2024-12-10,neutral,2.20590622572285,0.57,0.32,0.3911487567141508,,128
2024-12-11,neutral,2.1666996425168072,0.57,0.32,0.39393703204693326,,128
2024-12-12,neutral,2.122323713046932,0.57,0.32,0.3971412880698234,,128
2024-12-13,neutral,2.0961909845913707,0.57,0.32,0.3990527603889284,,128
2024-12-16,neutral,2.1178632294404385,0.57,0.32,0.3974662519900376,,128
2024-12-17,neutral,2.091481012755937,0.57,0.32,0.3993992288839542,,128
2024-12-18,neutral,2.0603955397218847,0.57,0.32,0.4017010713108726,,128
2024-12-19,neutral,2.0344543659968495,0.57,0.32,0.4036423919927074,,128
2024-12-20,neutral,2.008602897802548,0.57,0.32,0.4055957564671187,,128
2024-12-23,neutral,1.9881023731510068,0.57,0.32,0.40715829076474863,,128
2024-12-24,neutral,1.9643407280812575,0.57,0.32,0.4089845168934612,,128
2024-12-25,neutral,1.8420322093327608,0.57,0.32,0.4186499772440241,,128
2024-12-26,neutral,1.8127400135821277,0.57,0.32,0.4210329936251996,,128
2024-12-27,neutral,1.6873388363417898,0.57,0.32,0.4315491219987118,,128
2024-12-30,neutral,1.5439328683104665,0.57,0.32,0.4442379351646684,,128
2024-12-31,neutral,0.9906779946647668,0.57,0.32,0.5010779348882453,,128
2025-01-02,neutral,0.688946493393199,0.57,0.32,0.5386663186061755,,128
2025-01-03,neutral,0.27511955383340175,0.57,0.32,0.6004419994985379,,128
2025-01-06,neutral,0.27112757074494165,0.57,0.32,0.6011069961156152,,128
2025-01-07,neutral,0.18576078929224796,0.57,0.32,0.615688751470542,,128
2025-01-08,neutral,0.14497644490828834,0.57,0.32,0.622907907806295,,128
2025-01-09,neutral,0.060806586241025966,0.57,0.32,0.6383551409213492,,128
2025-01-10,neutral,0.053543993583765846,0.57,0.32,0.6397239868852506,,128
2025-01-13,neutral,0.05370481634406173,0.57,0.32,0.6396936116214207,,128
2025-01-14,neutral,-0.11881417369355952,0.57,0.32,0.65,,128
2025-01-15,neutral,-0.02882896042954425,0.57,0.32,0.65,,128
2025-01-16,neutral,-0.03202827649965158,0.57,0.32,0.65,,128
2025-01-17,neutral,-0.03675985747252201,0.57,0.32,0.65,,128
2025-01-20,neutral,-0.05186293636512946,0.57,0.32,0.65,,128
2025-01-21,neutral,-0.058284276477298454,0.57,0.32,0.65,,128
2025-01-22,neutral,-0.061405042924654776,0.57,0.32,0.65,,128
2025-01-23,neutral,-0.06551674152156643,0.57,0.32,0.65,,128
