date,action,code,shares,price
2024-12-05,BUY,000002,352.68749686495283,8.52
2024-12-05,BUY,601689,55.862707150622114,53.79076
2024-12-05,BUY,601688,168.5980341690245,17.82285
2024-12-05,BUY,601633,113.80583771110275,26.40372
2024-12-05,BUY,601628,72.52262754919454,41.43393
2024-12-05,BUY,601377,470.6055644686468,6.385172
2024-12-05,BUY,601360,230.39292905644535,13.04249
2024-12-05,BUY,601336,64.5334773367961,46.56339
2024-12-05,BUY,601318,58.54247588161349,51.3285
2024-12-05,BUY,601238,307.44202609769485,9.773867
2024-12-05,BUY,601236,355.63084297911627,8.449485
2024-12-05,BUY,601229,372.47981515562356,8.067276
2024-12-05,BUY,601211,160.6919386734467,18.69974
2024-12-05,BUY,601186,327.65567973583813,9.1709
2024-12-05,BUY,601698,133.1605130062775,22.56598
2024-12-05,BUY,601136,123.44491984389943,24.34201
2024-12-05,BUY,601117,374.8295400814846,8.016704
2024-12-05,BUY,601066,110.4368993585767,27.20918
2024-12-05,BUY,601012,167.49707208971003,17.94
2024-12-05,BUY,600999,158.21420213301073,18.99259
2024-12-05,BUY,600958,286.3860914817386,10.49247
2024-12-05,BUY,600918,429.40915332764837,6.997749
2024-12-05,BUY,600887,108.57832244885165,27.67493
2024-12-05,BUY,600600,43.11215026911075,69.69955
2024-12-05,BUY,600588,233.2994932678104,12.88
2024-12-05,BUY,600584,76.78302327663881,39.13492
2024-12-05,BUY,600570,97.22476036075655,30.90671
2024-12-05,BUY,600515,760.7335375416197,3.95
2024-12-05,BUY,600460,106.88081522751088,28.11447
2024-12-05,BUY,601127,21.72246970345394,138.3313
2024-12-05,BUY,601788,150.37886122982567,19.98218
2024-12-05,BUY,601865,122.38761636544838,24.5523
2024-12-05,BUY,601878,236.43445256981923,12.70922
2024-12-05,BUY,688981,34.539051417119516,87.0
2024-12-05,BUY,688599,124.22064792432401,24.19
2024-12-05,BUY,688506,13.494846514076428,222.67
2024-12-05,BUY,688472,203.80670145330993,14.74386
2024-12-05,BUY,688396,61.126376296424795,49.15877
2024-12-05,BUY,688303,111.04573072022906,27.06
2024-12-05,BUY,688271,21.541147671859406,139.4957
2024-12-05,BUY,688256,5.2706403446456855,570.12
2024-12-05,BUY,688223,341.85409252439115,8.79
2024-12-05,BUY,688126,141.2075880305168,21.28
2024-12-05,BUY,688111,9.983519067309482,300.9858
2024-12-05,BUY,688082,27.276582851833613,110.164
2024-12-05,BUY,688047,18.948779627250584,158.58
2024-12-05,BUY,688041,23.500198044133377,127.8669
2024-12-05,BUY,688036,34.13528203736082,88.02908
2024-12-05,BUY,688012,14.165992788482953,212.1205
2024-12-05,BUY,688009,481.8219412826454,6.236531
2024-12-05,BUY,688008,44.280508886456744,67.8605
2024-12-05,BUY,603986,35.418029196877896,84.8409
2024-12-05,BUY,603833,43.472192158121466,69.12229
2024-12-05,BUY,603799,95.70017571500178,31.39908
2024-12-05,BUY,603369,64.95968845285167,46.25788
2024-12-05,BUY,603296,48.1554931152827,62.39989
2024-12-05,BUY,603288,66.80325987220019,44.9813
2024-12-05,BUY,603259,59.912484379143876,50.15478
2024-12-05,BUY,603019,39.735925904970614,75.62168
2024-12-05,BUY,601901,341.04427726215954,8.810872
2024-12-05,BUY,601888,43.74383541405423,68.69305
2024-12-05,BUY,601881,195.367802891503,15.38072
2024-12-05,BUY,600438,110.59615286306212,27.17
2024-12-05,BUY,600415,219.56829232802926,13.68548
2024-12-05,BUY,601800,285.4629762586827,10.5264
2024-12-05,BUY,600176,268.74312229252394,11.1813
2024-12-05,BUY,002920,25.954923037696798,115.7737
2024-12-05,BUY,002736,268.8703278978274,11.17601
2024-12-05,BUY,002709,133.99562607699139,22.42534
2024-12-05,BUY,002600,345.10419668939016,8.707218
2024-12-05,BUY,002466,80.95090175887387,37.12
2024-12-05,BUY,002460,75.70176350288162,39.69389
2024-12-05,BUY,002459,182.66853940968986,16.45
2024-12-05,BUY,002371,10.191579308758064,294.8412
2024-12-05,BUY,002311,67.097972261118,44.78373
2024-12-05,BUY,002241,121.57175074915425,24.71707
2024-12-05,BUY,002230,58.69957301761844,51.19113
2024-12-05,BUY,002142,126.58067901327722,23.73899
2024-12-05,BUY,002129,293.44701887591776,10.24
2024-12-05,BUY,002049,46.252111596983646,64.96779
2024-12-05,BUY,002027,441.92144784721,6.799619
2024-12-05,BUY,001979,270.55061614620115,11.1066
2024-12-05,BUY,000977,65.1536654098641,46.12016
2024-12-05,BUY,000963,81.79621006009023,36.73639
2024-12-05,BUY,000938,121.37400355972807,24.75734
2024-12-05,BUY,000858,21.683830117734573,138.5778
